,Bus_Name,Bus_type,from,to,pickup_time,drop_time,duration,prices,ratings,AC_type,Seater,semi_sleeper,sleeper
382,KMRL Kalaimakal ,A/C Seater / Sleeper (2+1),BLR,CHN,22:15,05:00,6,640,4.8,A/C,yes,no,yes
383,V2K Travels ,A/C Sleeper (2+1),BLR,CHN,22:00,04:50,6,800,4.7,A/C,no,no,yes
384,Jabbar  Travels ,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),BLR,CHN,23:15,05:25,6,500,4.6,A/C,no,yes,no
385,AdIntrCity SmartBus ,A/C Seater / Sleeper (2+1),BLR,CHN,23:05,06:10,7,607,4.1,A/C,yes,no,yes
386,KMRL Kalaimakal ,A/C Sleeper (2+1),BLR,CHN,22:00,04:45,6,850,4.7,A/C,no,no,yes
387,IntrCity SmartBus ,A/C Seater / Sleeper (2+1),BLR,CHN,23:15,06:30,7,591,4.6,A/C,yes,no,yes
388,KMRL Kalaimakal ,A/C Sleeper (2+1),BLR,CHN,22:30,05:15,6,800,4.7,A/C,no,no,yes
389,SPS Travels ,A/C Sleeper (2+1),BLR,CHN,22:15,05:00,6,814,4.6,A/C,no,no,yes
390,Jabbar  Travels ,VE A/C Sleeper (2+1),BLR,CHN,11:30,18:45,7,552,4.6,A/C,no,no,yes
391,SPS Travels ,A/C Sleeper (2+1),BLR,CHN,22:35,05:25,6,700,4.5,A/C,no,no,yes
392,IntrCity SmartBus ,AC Sleeper (2+1),BLR,CHN,23:40,07:10,7,664,4.6,A/C,no,no,yes
393,Highline Transports ,VE A/C Sleeper (2+1),BLR,CHN,21:50,04:40,6,660,4.5,A/C,no,no,yes
394,IntrCity SmartBus ,A/C Seater / Sleeper (2+1),BLR,CHN,22:15,05:20,7,675,4.5,A/C,yes,no,yes
395,NWAY HOLIDAYS ,A/C Sleeper (2+1),BLR,CHN,22:55,06:25,7,699,4.7,A/C,no,no,yes
396,GreenLine Travels And  Holidays ,VE A/C Sleeper (2+1),BLR,CHN,23:15,05:00,5,900,4.5,A/C,no,no,yes
397,Jabbar  Travels ,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),BLR,CHN,12:30,20:00,7,452,4.5,A/C,no,yes,no
398,GRS Travels ,A/C Sleeper (2+1),BLR,CHN,22:00,05:00,7,750,4.5,A/C,no,no,yes
399,SPS Travels ,A/C Sleeper (2+1),BLR,CHN,23:00,05:50,6,700,4.4,A/C,no,no,yes
400,IntrCity SmartBus ,AC Sleeper (2+1),BLR,CHN,22:50,06:15,7,608,4.5,A/C,no,no,yes
401,IntrCity SmartBus ,AC Sleeper (2+1),BLR,CHN,21:10,04:00,6,718,4.5,A/C,no,no,yes
402,SPS Travels ,A/C Sleeper (2+1),BLR,CHN,22:55,05:35,6,700,4.4,A/C,no,no,yes
403,VHB Travels ,A/C Sleeper (2+1),BLR,CHN,23:00,06:15,7,1100,4.4,A/C,no,no,yes
404,Jabbar  Travels ,VE A/C Sleeper (2+1),BLR,CHN,22:30,04:30,6,700,4.4,A/C,no,no,yes
405,UST Bus ,A/C Sleeper (2+1),BLR,CHN,23:15,05:15,6,836,4.4,A/C,no,no,yes
406,Yolo Bus ,A/C Sleeper (2+1),BLR,CHN,23:35,06:04,6,699,4.3,A/C,no,no,yes
